05693         C2009 03 16.48811 14 53 34.54 -07 03 33.6          19.1 Vo~05LG691
05693         C2009 03 19.45885 14 52 26.40 -06 40 57.5          18.8 Vr~05bF703
05693         C2009 03 19.46868 14 52 26.14 -06 40 53.2          18.5 Vr~05bF703
05693         C2009 03 19.47852 14 52 25.75 -06 40 48.6          18.5 Vr~05bF703
05693         C2009 03 19.48832 14 52 25.46 -06 40 43.2          18.6 Vr~05bF703
05693         C2009 03 24.34935 14 49 30.53 -05 57 53.8          18.8  c~05bF704
05693         C2009 03 24.36152 14 49 29.87 -05 57 45.6          18.9  c~05bF704
05693         C2009 03 24.37366 14 49 29.38 -05 57 39.2          18.8  c~05bF704
05693         C2009 03 24.38580 14 49 28.78 -05 57 32.4          18.8  c~05bF704
05693         C2009 03 24.39795 14 49 28.19 -05 57 26.1          18.6  c~05bF704
05693         C2009 04 01.71717 14 41 04.27 -04 26 25.1          18.1 Rr~05wKD29
05693         C2009 04 01.73222 14 41 03.05 -04 26 13.8          18.1 Rr~05wKD29
05693         C2009 04 01.74692 14 41 01.85 -04 26 02.5          17.9 Rr~05wKD29
05693         C2009 04 01.76432 14 41 00.44 -04 25 50.3          18.0 Rr~05wKD29
05693         C2009 04 17.31329 14 12 46.44 -00 39 34.2          17.3 Vr~06Cn703
05693         C2009 04 17.31925 14 12 45.57 -00 39 28.4          17.4 Vr~06Cn703
05693         C2009 04 17.32518 14 12 44.74 -00 39 22.2          17.2 Vr~06Cn703
05693         C2009 04 17.33120 14 12 43.81 -00 39 16.6          17.3 Vr~06Cn703
05693         C2009 04 19.81601 14 06 45.31 +00 01 49.4          17.4 V ~06tZA50
05693         C2009 04 19.81753 14 06 45.07 +00 01 50.8          17.4 V ~06tZA50
05693         C2009 04 19.81906 14 06 44.85 +00 01 52.2          17.4 V ~06tZA50
05693         C2009 04 19.89269 14 06 33.90 +00 03 06.0                c~07mg127
05693         C2009 04 19.89691 14 06 33.25 +00 03 10.1                c~07mg127
05693         C2009 04 19.90194 14 06 32.50 +00 03 15.6                c~07mg127
05693         C2009 04 21.88618 14 01 30.41 +00 36 33.5                c~07mg127
05693         C2009 04 21.89139 14 01 29.59 +00 36 38.9                c~07mg127
05693         C2009 04 21.90297 14 01 27.74 +00 36 50.5                c~07mg127
05693         C2009 04 21.90731 14 01 27.08 +00 36 54.9                c~07mg127
05693         C2009 04 22.87326 13 58 55.70 +00 53 11.1                c~07mg127
05693         C2009 04 22.87917 13 58 54.75 +00 53 17.0                c~07mg127
05693         C2009 04 22.88486 13 58 53.82 +00 53 22.8                c~07mg127
05693         C2009 04 22.90244 13 58 50.99 +00 53 40.6                c~07mg127
05693         C2009 04 23.84372 13 56 20.60 +01 09 34.2          17.5  r~0GbQC20
05693         C2009 04 28.27650 13 44 05.17 +02 23 41.3          17.2 Vr~06ij703
05693         C2009 04 28.29331 13 44 02.25 +02 23 58.6          17.2 Vr~06ij703
05693         C2009 04 28.30169 13 44 00.78 +02 24 06.3          17.2 Vr~06ij703
05693         C2009 04 30.96437 13 36 22.91 +03 07 13.1                v~06tZ204
05693         C2009 05 01.01528 13 36 13.87 +03 08 01.6          16.6 Cv~06tZ204
05693         C2009 05 01.04138 13 36 09.26 +03 08 26.6                v~06tZ204
05693         C2009 05 01.92506 13 33 35.67 +03 22 24.4          17.4  r~0GbQC20
05693         C2009 05 13.89937 12 59 18.37 +06 04 08.8          17.7  r~0GbQC20
05693         C2009 05 16.24044 12 53 01.89 +06 28 10.9          17.4 Vr~0735703
05693         C2009 05 16.24646 12 53 00.88 +06 28 14.4          17.4 Vr~0735703
05693         C2009 05 16.25245 12 52 59.95 +06 28 17.7          17.4 Vr~0735703
05693         C2009 05 16.25851 12 52 58.94 +06 28 21.1          17.4 Vr~0735703
05693         C2009 05 17.91266 12 48 41.26 +06 43 30.3          17.6  r~0GbQC20
05693         C2009 05 18.86225 12 46 17.79 +06 51 35.8          16.9 Rc~0735J08
05693         C2009 05 18.96520 12 46 01.82 +06 52 26.8          17.3 Rc~0735J08
05693         C2009 05 19.93700 12 43 37.51 +07 00 09.2          16.8 Rc~0735J08
05693         C2009 05 19.96757 12 43 32.85 +07 00 22.7          16.7 Rc~0735J08
05693         C2009 05 20.86013 12 41 23.40 +07 07 00.2          17.1 Rc~0735J08
05693         C2009 05 20.93511 12 41 12.36 +07 07 32.8          17.1 Rc~0735J08
05693         C2009 05 24.90132 12 32 08.66 +07 31 36.4          17.8  r~0GbQC20
05693         C2009 05 28.84353 12 24 05.67 +07 47 31.0          17.4 Co~079tB88
05693         C2009 05 28.85338 12 24 04.46 +07 47 32.7          17.1 Co~079uB88
05693         C2009 05 28.86323 12 24 03.29 +07 47 34.5          17.3 Co~079uB88
05693         C2009 05 28.87465 12 24 02.04 +07 47 38.3          17.1 Vr~07KNJ75
05693         C2009 05 28.88404 12 24 00.91 +07 47 39.5          16.8 Vr~07KNJ75
05693         C2009 05 28.89322 12 23 59.81 +07 47 40.8          17.0 Vr~07KNJ75
05693         C2009 06 07.84874 12 07 52.92 +07 56 11.7          17.1 Cr~07TaA81
05693         C2009 06 07.85137 12 07 52.73 +07 56 12.0          17.2 Cr~07TaA81
05693         C2009 06 07.85418 12 07 52.45 +07 56 11.4          17.5 Cr~07TaA81
05693         C2009 06 24.17601 11 52 06.92 +06 59 38.3          18.0 Vr~07Yn703
05693         C2009 06 24.18090 11 52 06.67 +06 59 36.9          17.8 Vr~07Yn703
05693         C2009 06 24.18582 11 52 06.38 +06 59 35.4          17.8 Vr~07Yn703
05693         C2009 06 24.19065 11 52 06.27 +06 59 34.0          17.8 Vr~07Yn703
05693        QC2009 07 08.38933 11 43 21.22 +05 35 22.2          18.4 Vr~07g7E12
05693         C2009 10 18.50256 10 21 24.01 +10 26 56.7          18.8 Vr~0AJQG96
05693         C2009 10 18.50634 10 21 24.51 +10 26 55.0          18.8 Vr~0AJQG96
05693         C2009 10 18.51003 10 21 24.98 +10 26 53.1          18.8 Vr~0AJQG96
05693         C2009 10 18.51373 10 21 25.45 +10 26 51.4          18.8 Vr~0AJQG96
05693         C2009 10 24.50950 10 34 09.44 +09 39 07.5          18.9 Vr~0Afy703
05693         C2009 10 24.51187 10 34 09.62 +09 39 06.4          18.4 Vr~0Afy703
05693         C2009 10 24.51432 10 34 09.98 +09 39 04.2          18.9 Vr~0Afy703
05693         C2009 10 24.51685 10 34 10.20 +09 39 03.6          18.4 Vr~0Afy703
05693         C2009 11 16.49772 11 16 02.71 +06 56 31.4          19.5 Vo~0BLE691
05693         C2009 11 16.50495 11 16 03.36 +06 56 29.4          19.1 Vr~0BLE703
05693         C2009 11 16.50987 11 16 03.86 +06 56 27.4          19.5 Vo~0BLE691
05693         C2009 11 16.51126 11 16 03.93 +06 56 25.9          19.1 Vr~0BLE703
05693         C2009 11 16.51758 11 16 04.62 +06 56 24.0          18.9 Vr~0BLE703
05693         C2009 11 16.52203 11 16 04.98 +06 56 23.0          19.3 Vo~0BLE691
05693         C2009 11 16.52370 11 16 05.08 +06 56 22.5          19.4 Vr~0BLE703
05693         C2009 11 22.51776 11 25 05.42 +06 23 33.6          19.6 Vo~0BqW691
05693         C2009 11 22.53040 11 25 06.48 +06 23 29.7          19.5 Vo~0BqW691
05693         C2009 11 22.54305 11 25 07.54 +06 23 26.0          19.5 Vo~0BqW691
05693         C2009 12 18.51500 11 53 22.93 +05 16 10.0          19.5 Vo~0CN0691
05693         C2009 12 18.53362 11 53 23.65 +05 16 10.4          19.5 Vo~0CN0691
05693         C2009 12 18.55225 11 53 24.37 +05 16 10.8          19.5 Vo~0CN0691
05693         C2009 12 19.51501 11 54 03.80 +05 16 38.2          19.5 Vo~0Chm691
05693         C2009 12 19.53366 11 54 04.47 +05 16 39.0          19.4 Vo~0Chm691
05693         C2009 12 19.55230 11 54 05.18 +05 16 39.7          19.5 Vo~0Chm691
05693        `C2009 12 28.61255111 58 34.32 +05 33 58.4                 ~2G1S568
05693        `C2009 12 28.61320611 58 34.349+05 33 58.59                ~0U8G568
05693        `C2009 12 28.62660411 58 34.54 +05 34 01.0                 ~2G1S568
05693        `C2009 12 28.62737311 58 34.576+05 34 01.42                ~0U8G568
05693        `C2010 01 03.64314811 59 43.295+05 59 27.75                ~0U8G568
05693        `C2010 01 03.65776611 59 43.306+05 59 32.32                ~0U8G568
05693         C2010 01 08.52192 11 59 26.98 +06 29 02.7          19.1 Vr~0CuFG96
05693         C2010 01 08.52816 11 59 26.88 +06 29 05.3          19.1 Vr~0CuFG96
05693         C2010 01 08.53444 11 59 26.80 +06 29 07.8          19.0 Vr~0CuFG96
05693         C2010 01 08.54068 11 59 26.73 +06 29 10.5          19.0 Vr~0CuFG96
05693         C2010 01 16.40940 11 56 28.91 +07 35 06.8          19.3  c~0DLv704
05693         C2010 01 16.42183 11 56 28.39 +07 35 13.8          19.0  c~0DLv704
05693         C2010 01 16.43426 11 56 27.82 +07 35 19.8          19.1  c~0DLv704
05693         C2010 01 16.44687 11 56 27.40 +07 35 28.5          19.1  c~0DLv704
05693        `C2010 01 29.58002311 43 50.538+10 14 46.05                ~0U8G568
05693         C2010 02 09.37585 11 26 21.86 +13 00 48.0          18.4  c~0E5V704
05693         C2010 02 09.38827 11 26 20.45 +13 00 59.6          19.0  c~0E5V704
05693         C2010 02 09.40071 11 26 18.96 +13 01 11.7          18.8  c~0E5V704
05693        `C2010 02 10.46597111 24 17.38 +13 18 30.8                 ~2G1S568
05693        `C2010 02 10.48118911 24 15.53 +13 18 46.0                 ~2G1S568
05693         C2010 02 13.33625 11 18 35.54 +14 05 09.5          18.5  c~0E5V704
05693         C2010 02 13.34850 11 18 34.00 +14 05 21.6          18.5  c~0E5V704
05693         C2010 02 13.36074 11 18 32.48 +14 05 33.8          18.8  c~0E5V704
05693         C2010 02 13.37295 11 18 30.92 +14 05 45.3          18.8  c~0E5V704
05693         C2010 02 13.38519 11 18 29.39 +14 05 57.4          18.7  c~0E5V704
05693         C2010 02 14.01287 11 17 12.14 +14 16 06.0          18.4  u~0JhUC20
05693         C2010 02 14.01434 11 17 11.91 +14 16 08.0          19.2  u~0JhUC20
05693         C2010 02 14.01580 11 17 11.74 +14 16 09.4          18.6  u~0JhUC20
05693         C2010 02 15.32694 11 14 28.51 +14 37 24.4          18.9  c~0E5V704
05693         C2010 02 15.33955 11 14 26.87 +14 37 36.8          18.9  c~0E5V704
05693         C2010 02 15.35187 11 14 25.29 +14 37 47.5          19.1  c~0E5V704
05693         C2010 02 15.36404 11 14 23.74 +14 38 00.0          18.9  c~0E5V704
05693         C2010 02 15.37626 11 14 22.14 +14 38 11.7          18.9  c~0E5V704
05693         C2010 02 18.96121 11 06 40.93 +15 35 09.5          18.1  u~0JhUC20
05693         C2010 02 18.96422 11 06 40.53 +15 35 12.2          18.4  u~0JhUC20
05693         C2010 02 19.28307 11 05 59.16 +15 40 12.5          18.4  c~0E5V704
05693         C2010 02 19.29513 11 05 57.52 +15 40 23.9          18.6  c~0E5V704
05693         C2010 02 19.30722 11 05 55.89 +15 40 35.4          18.8  c~0E5V704
05693         C2010 02 19.31931 11 05 54.26 +15 40 46.3          18.5  c~0E5V704
05693         C2010 02 19.33138 11 05 52.65 +15 40 57.5          18.6  c~0E5V704
05693         C2010 02 20.04466 11 04 18.32 +15 51 56.9          18.5  u~0JhUC20
05693         C2010 02 23.98260 10 55 34.80 +16 50 45.2          18.8  u~0JhUC20
05693         C2010 02 23.98557 10 55 34.43 +16 50 47.6          18.2  u~0JhUC20
05693         C2010 02 24.89617 10 53 33.09 +17 03 46.8          18.0  u~0JhUC20
05693         C2010 02 24.89910 10 53 32.68 +17 03 49.3          18.3  u~0JhUC20
05693         C2010 02 25.90613 10 51 18.30 +17 17 52.2          18.5  u~0JhUC20
05693         C2010 02 25.90906 10 51 17.91 +17 17 54.5          18.2  u~0JhUC20
05693         C2010 02 26.09849 10 50 52.21 +17 20 29.1          18.0  u~0JhUC20
05693         C2010 02 26.10002 10 50 52.02 +17 20 30.2          17.9  u~0JhUC20
05693         C2010 02 26.10156 10 50 51.84 +17 20 31.3          17.7  u~0JhUC20
05693         C2010 03 01.93248 10 42 26.54 +18 10 29.6          18.3  u~0JhUC20
05693         C2010 03 01.93542 10 42 26.13 +18 10 31.8          18.6  u~0JhUC20
05693         C2010 03 02.06023 10 42 09.59 +18 12 02.9          18.1  u~0JhUC20
05693         C2010 03 02.06317 10 42 09.21 +18 12 04.7          18.4  u~0JhUC20
05693         C2010 03 04.36413 10 37 13.04 +18 39 17.1          18.2 Vr~0Eol703
05693         C2010 03 04.36928 10 37 12.39 +18 39 21.9          18.0 Vr~0Eol703
05693         C2010 03 04.37448 10 37 11.67 +18 39 25.2          17.9 Vr~0Eol703
05693         C2010 03 04.37968 10 37 11.06 +18 39 28.5          18.0 Vr~0Eol703
05693        KC2010 03 05.88348 10 34 02.06 +18 56 00.7          19.0 Cu~0EolB88
05693        KC2010 03 05.89205 10 34 00.88 +18 56 06.8          19.0 Cu~0EolB88
05693        KC2010 03 05.90062 10 33 59.87 +18 56 12.6          18.6 Cu~0EolB88
05693        KC2010 03 10.82328 10 24 10.18 +19 43 36.2          18.5 Vu~0EolA13
05693        KC2010 03 10.84554 10 24 07.50 +19 43 48.0          18.5 Vu~0EolA13
05693        KC2010 03 13.82020 10 18 38.72 +20 07 16.8          18.9 Vu~0F9QA13
05693        KC2010 03 13.84649 10 18 35.84 +20 07 28.5          19.1 Vu~0F9QA13
05693         C2010 03 17.22295 10 12 52.20 +20 29 30.2          18.9  c~0FVn704
05693         C2010 03 17.23408 10 12 51.10 +20 29 33.6          19.3  c~0FVn704
05693         C2010 03 17.24512 10 12 50.02 +20 29 37.8          19.1  c~0FVn704
05693         C2010 03 17.25619 10 12 48.88 +20 29 41.7          19.4  c~0FVn704
05693        KC2010 04 02.83787 09 53 22.71 +21 14 27.8          19.6 Cu~0FrnJ28
05693        KC2010 04 02.87723 09 53 20.89 +21 14 28.0          19.6 Cu~0FrnJ28
05693         C2011 03 28.11176 03 26 38.79 +19 04 57.4          17.9 Vr~0U8G703
05693         C2011 03 28.11588 03 26 40.05 +19 05 02.2          18.8 Vr~0U8G703
05693         C2011 03 28.11997 03 26 41.35 +19 05 07.5          19.3 Vr~0U8G703
05693         C2011 03 28.12414 03 26 42.46 +19 05 12.8          19.0 Vr~0U8G703
05693         C2011 04 01.13007 03 47 01.86 +20 28 14.0          18.8 Vr~0U8GG96
05693         C2011 04 01.13346 03 47 02.86 +20 28 18.3          18.9 Vr~0U8GG96
05693         C2011 04 01.13681 03 47 03.87 +20 28 22.0          18.9 Vr~0U8GG96
05693         C2011 04 01.14022 03 47 04.88 +20 28 25.7          18.8 Vr~0U8GG96
05693         C2012 02 02.51077 15 31 17.43 -13 42 03.8          20.3 Vo~0d8h691
05693         C2012 02 02.52347 15 31 18.83 -13 42 07.7          20.7 Vo~0d8h691
05693         C2012 02 02.53620 15 31 20.23 -13 42 11.5          20.6 Vo~0d8h691
05693         C2012 03 01.50588 16 24 45.21 -15 19 43.9          19.3 Vr~0eCfG96
05693         C2012 03 01.51449 16 24 46.22 -15 19 45.0          19.2 Vr~0eCfG96
05693         C2012 03 01.52315 16 24 47.23 -15 19 45.9          19.2 Vr~0eCfG96
05693         C2012 03 01.53177 16 24 48.24 -15 19 47.1          18.9 Vr~0eCfG96
05693         C2012 05 16.45970 22 14 34.36 -00 40 36.0          16.6 Vr~0ghW703
05693         C2012 05 16.46450 22 14 38.14 -00 40 19.2          16.6 Vr~0ghW703
05693         C2012 05 16.46929 22 14 41.89 -00 40 03.1          16.7 Vr~0ghW703
05693         C2012 11 15.49227 11 41 12.26 +05 22 49.4          20.4 Vr~0lOAG96
05693         C2012 11 15.49538 11 41 12.48 +05 22 47.8          20.0 Vr~0lOAG96
05693         C2012 11 15.49845 11 41 12.84 +05 22 46.1          20.3 Vr~0lOAG96
05693         C2012 11 15.50154 11 41 13.12 +05 22 45.0          20.9 Vr~0lOAG96
05693         C2013 02 05.43004 12 38 51.75 +04 13 39.1          19.4 Vu~0oVz703
05693         C2013 02 05.43819 12 38 51.36 +04 13 44.4          19.5 Vu~0oVz703
05693         C2013 02 05.44558 12 38 51.10 +04 13 48.6          19.1 Vu~0oVz703
05693         C2013 02 05.45297 12 38 50.78 +04 13 53.2          19.5 Vu~0oVz703
05693         C2013 02 16.39655 12 28 39.36 +06 13 04.0          19.1 Vr~0p9V703
05693         C2013 02 16.40308 12 28 38.89 +06 13 09.0          19.1 Vr~0p9V703
05693         C2013 02 16.40962 12 28 38.42 +06 13 14.0          19.4 Vr~0p9V703
05693         C2013 02 16.41615 12 28 37.92 +06 13 19.3          19.2 Vr~0p9V703
05693         C2013 02 17.44572 12 27 22.37 +06 26 10.2          19.7 Vo~0p9V691
05693         C2013 02 17.46337 12 27 20.99 +06 26 23.3          20.6 Vo~0p9V691
05693         C2013 02 17.48103 12 27 19.63 +06 26 36.8          19.4 Vo~0p9V691
05693        KC2013 02 24.32890812 17 43.43 +07 57 30.7          18.7 Vu~0pVhH21
05693        KC2013 02 24.33259012 17 43.09 +07 57 33.8          18.6 Vu~0pVhH21
05693        KC2013 02 24.33627112 17 42.74 +07 57 36.8          18.5 Vu~0pVhH21
05693        KC2013 02 24.33994812 17 42.39 +07 57 39.8          18.5 Vu~0pVhH21
05693        KC2013 02 24.34362612 17 42.04 +07 57 42.9          18.3 Vu~0pVhH21
05693        KC2013 02 24.34775512 17 41.63 +07 57 46.3          18.6 Vu~0pVhH21
05693         C2013 03 03.44692 12 05 44.59 +09 38 17.4          18.3 Vu~0pVh703
05693         C2013 03 03.44749 12 05 44.52 +09 38 18.0          18.5 Vu~0pVh703
05693         C2013 03 03.45199 12 05 44.05 +09 38 21.8          18.5 Vu~0pVh703
05693         C2013 03 03.45254 12 05 43.94 +09 38 23.1          18.4 Vu~0pVh703
05693         C2013 03 03.45709 12 05 43.47 +09 38 25.9          19.1 Vu~0pVh703
05693         C2013 03 03.45767 12 05 43.44 +09 38 26.8          18.5 Vu~0pVh703
05693         C2013 03 03.46440 12 05 42.64 +09 38 32.4          18.6 Vu~0pVh703
05693         C2013 03 03.46496 12 05 42.57 +09 38 33.6          18.6 Vu~0pVh703
05693         C2013 03 03.52117 12 05 36.721+09 39 23.12         18.5 iL~0pVhF51
05693         C2013 03 03.53356 12 05 35.335+09 39 33.72         18.6 iL~0pVhF51
05693         C2013 03 08.50735 11 56 18.169+10 50 18.50         19.0 gL~0pVhF51
05693         C2013 03 08.51927 11 56 16.755+10 50 28.56         19.1 gL~0pVhF51
05693         C2013 03 08.53234 11 56 15.210+10 50 39.55         18.6 rL~0pVhF51
05693         C2013 03 14.36891 11 44 49.77 +12 10 03.0          18.6 Vu~0puD703
05693         C2013 03 14.37501 11 44 49.05 +12 10 08.1          18.8 Vu~0puD703
05693         C2013 03 14.38122 11 44 48.26 +12 10 12.3          18.7 Vu~0puD703
05693         C2013 03 14.38740 11 44 47.50 +12 10 17.4          18.4 Vu~0puD703
05693         C2013 03 14.39354 11 44 46.75 +12 10 22.1          18.3 Vu~0puD703
05693         C2013 03 15.22820 11 43 08.15 +12 21 10.9          18.6 GVEJ099G45
05693         C2013 03 15.26329 11 43 03.98 +12 21 38.3          19.1 GVEJ099G45
05693         C2013 03 15.33593 11 42 55.02 +12 22 34.6          18.2 GVEJ099G45
05693         C2013 03 15.37560 11 42 50.18 +12 23 04.4          18.7 GVEJ099G45
05693         C2013 03 20.19793 11 33 21.85 +13 21 49.0          18.9 Vu~0qEH703
05693         C2013 03 20.20185 11 33 21.31 +13 21 52.8          19.1 Vu~0qEH703
05693         C2013 03 20.20578 11 33 20.73 +13 21 55.1          19.4 Vu~0qEH703
05693         C2013 03 20.20968 11 33 20.37 +13 21 58.5          18.5 Vu~0qEH703
05693        KC2013 03 30.19225611 14 59.73 +14 59 18.4          19.2 Vu~0qUfH21
05693        KC2013 03 30.19599311 14 59.34 +14 59 20.3          19.3 Vu~0qUfH21
05693        KC2013 03 30.20123711 14 58.78 +14 59 22.7          19.2 Vu~0qUfH21
05693        KC2013 03 30.20448911 14 58.44 +14 59 24.3          19.1 Vu~0qUfH21
05693        KC2013 03 30.20796911 14 58.07 +14 59 25.9          19.3 Vu~0qUfH21
05693         C2013 04 11.17728 10 57 29.88 +16 07 11.4          19.1 Vu~0qmy703
05693         C2013 04 11.18226 10 57 29.48 +16 07 12.6          19.4 Vu~0qmy703
05693         C2013 04 11.18732 10 57 29.08 +16 07 14.7          19.9 Vu~0qmy703
05693         C2013 04 11.19235 10 57 28.72 +16 07 15.9          18.7 Vu~0qmy703
05693         C2013 04 12.54741 10 55 53.93 +16 11 35.1          19.5 Rr~0r7OD29
05693         C2013 04 12.56429 10 55 52.74 +16 11 37.9          19.3 Rr~0r7OD29
05693         C2013 04 12.58117 10 55 51.55 +16 11 41.0          19.3 Rr~0r7OD29
05693         C2014 01 29.10938 00 47 07.83 +04 23 58.4          18.4 Vq~10BM703
05693         C2014 01 29.11747 00 47 11.45 +04 24 26.4          18.2 Vq~10BM703
05693         C2014 01 29.12554 00 47 14.99 +04 24 53.6          18.0 Vq~10BM703
05693         C2014 02 09.13337 02 06 24.84 +13 45 15.4          18.0 Vq~10iD703
05693         C2014 02 09.14075 02 06 27.83 +13 45 35.5          17.9 Vq~10iD703
05693         C2014 02 09.15144 02 06 32.17 +13 46 03.8          17.5 Vq~10iD703
05693         C2014 02 09.15883 02 06 35.20 +13 46 22.3          17.8 Vq~10iD703
05693        KC2014 02 12.78101 02 30 46.52 +16 14 37.8          18.8 Vo~10si639
05693        KC2014 02 12.79183 02 30 50.68 +16 15 03.1          18.7 Vo~10si639
05693        KC2014 02 12.79935 02 30 53.61 +16 15 19.9          18.6 Vo~10si639
05693        KC2014 02 12.80449 02 30 55.59 +16 15 31.7          18.6 Vo~10si639
05693         C2014 02 18.13142 03 04 16.24 +19 16 58.1          17.9 Vq~10siG96
05693         C2014 02 18.13597 03 04 17.87 +19 17 06.3          18.1 Vq~10siG96
05693         C2014 02 18.14053 03 04 19.49 +19 17 14.5          18.1 Vq~10siG96
05693         C2014 02 18.14509 03 04 21.13 +19 17 22.7          17.9 Vq~10siG96
05693         C2014 02 22.08392 03 27 13.83 +21 05 05.2          18.5 Rq~116LH45
05693         C2014 02 22.08525 03 27 14.31 +21 05 07.3          18.6 Rq~116LH45
05693         C2014 02 22.08609 03 27 14.58 +21 05 08.5          18.6 Rq~116LH45
05693         C2014 02 22.08688 03 27 14.85 +21 05 09.6          18.6 Rq~116LH45
05693         C2014 02 22.08790 03 27 15.18 +21 05 11.3          18.7 Rq~116LH45
05693         C2014 02 22.08864 03 27 15.42 +21 05 12.2          18.7 Rq~116LH45
05693         C2014 02 27.13511 03 54 24.12 +22 54 34.2          18.4 Vq~116L703
05693         C2014 02 27.13811 03 54 24.99 +22 54 36.5          18.7 Vq~116L703
05693         C2014 02 27.14110 03 54 25.96 +22 54 40.9          18.5 Vq~116L703
05693         C2014 02 27.14410 03 54 26.83 +22 54 43.9          18.7 Vq~116L703
05693         C2014 03 10.12933 04 45 58.35 +25 26 00.2          18.4 Vq~11t4703
05693         C2014 03 10.13389 04 45 59.48 +25 26 02.8          18.3 Vq~11t4703
05693         C2014 03 10.13843 04 46 00.66 +25 26 03.9          18.4 Vq~11t4703
05693         C2014 03 10.14296 04 46 01.87 +25 26 05.7          17.9 Vq~11t4703
05693        KC2014 03 15.06916705 06 15.64 +26 05 19.3          19.2 Vu~12FVH21
05693        KC2014 03 15.07194305 06 16.17 +26 05 19.9          18.9 Vu~12FVH21
05693        KC2014 03 18.06461305 17 49.77 +26 22 40.0          19.3 Vu~12FVH21
05693        KC2014 03 18.06756005 17 50.41 +26 22 41.3          18.9 Vu~12FVH21
05693         C2014 05 20.25913 08 12 19.537+23 35 43.26         20.4 wL~14TZF51
05693         C2014 05 20.26377 08 12 20.156+23 35 41.50         20.5 wL~14TZF51
05693         C2014 05 20.26841 08 12 20.739+23 35 39.56         20.6 wL~14TZF51
05693         C2014 05 20.27304 08 12 21.337+23 35 37.54         20.7 wL~14TZF51
05693         C2016 01 14.51347 13 21 40.06 -02 22 51.3          20.8 rR~1jCmG45
05693         C2016 01 14.52610 13 21 40.61 -02 22 52.0          20.5 rR~1jCmG45
05693         C2016 01 14.53132 13 21 40.74 -02 22 51.0          20.2 rR~1jCmG45
05693         C2016 01 14.54055 13 21 41.23 -02 22 52.8          20.6 rR~1jCmG45
05693         C2016 01 14.54611 13 21 41.37 -02 22 52.1          20.6 rR~1jCmG45
05693         C2016 01 15.60319 13 22 27.696-02 23 50.74         20.4 wL~1jCmF51
05693         C2016 01 15.61614 13 22 28.224-02 23 51.46         20.3 wL~1jCmF51
05693         C2016 01 15.62913 13 22 28.753-02 23 52.12         20.5 wL~1jCmF51
05693         C2016 01 15.64211 13 22 29.284-02 23 52.69         20.4 wL~1jCmF51
05693         C2016 02 04.63324 13 31 18.172-01 57 47.96         20.2 wL~1k9RF51
05693         C2016 02 04.64302 13 31 18.212-01 57 46.25         20.3 wL~1k9RF51
05693         C2016 02 04.65280 13 31 18.276-01 57 43.82         20.4 wL~1k9RF51
05693         C2016 02 10.39661 13 31 25.01 -01 32 25.0          20.2 rR~1lBvG45
05693         C2016 02 10.40103 13 31 24.95 -01 32 23.8          20.1 rR~1lBvG45
05693         C2016 02 10.40854 13 31 24.90 -01 32 21.7          20.2 rR~1lBvG45
05693         C2016 02 10.41319 13 31 24.88 -01 32 19.9          20.6 rR~1lBvG45
05693         C2016 02 10.42238 13 31 24.81 -01 32 17.1          20.0 rR~1lBvG45
05693         C2016 02 10.42680 13 31 24.76 -01 32 15.2          19.8 rR~1lBvG45
05693         C2016 02 13.38089 13 30 57.62 -01 15 43.2          19.9 rR~1m4VG45
05693         C2016 02 13.38540 13 30 57.54 -01 15 42.1          20.0 rR~1m4VG45
05693         C2016 02 13.38981 13 30 57.49 -01 15 40.1          19.9 rR~1m4VG45
05693         C2016 02 13.39429 13 30 57.41 -01 15 38.6          20.3 rR~1m4VG45
05693         C2016 02 13.39894 13 30 57.36 -01 15 36.4          20.1 rR~1m4VG45
05693         C2016 02 13.41107 13 30 57.16 -01 15 32.6          20.4 rR~1m4VG45
05693         C2016 02 13.41575 13 30 57.11 -01 15 30.7          19.7 rR~1m4WG45
05693         C2016 02 13.42016 13 30 57.02 -01 15 29.4          20.1 rR~1m4WG45
05693         C2016 02 15.54892 13 30 23.676-01 02 00.77         19.7 wL~1m4WF51
05693         C2016 02 15.56060 13 30 23.427-01 01 56.19         19.6 wL~1m4WF51
05693         C2016 02 15.57229 13 30 23.180-01 01 51.57         19.7 wL~1m4WF51
05693         C2016 02 15.58401 13 30 22.929-01 01 46.89         19.7 wL~1m4WF51
05693         C2016 02 21.54651 13 27 45.573-00 17 10.81         19.0 iL~1msaF51
05693         C2016 02 21.55827 13 27 45.137-00 17 04.97         19.2 iL~1msaF51
05693         C2016 02 21.57001 13 27 44.701-00 16 59.11         19.1 iL~1msaF51
05693         C2016 02 21.58176 13 27 44.254-00 16 53.23         19.2 iL~1msaF51
05693         C2016 03 01.47843 13 20 43.23 +01 08 33.6          19.5 Vq~1n7a703
05693         C2016 03 01.48347 13 20 42.96 +01 08 37.5          19.1 Vq~1n7a703
05693         C2016 03 01.48851 13 20 42.69 +01 08 41.3          19.6 Vq~1n7a703
05693         C2016 03 01.49355 13 20 42.38 +01 08 43.6          18.9 Vq~1n7a703
05693         C2016 03 07.36830 13 13 57.65 +02 16 49.4          18.8 Vq~1o1A703
05693         C2016 03 07.37334 13 13 57.29 +02 16 53.2          19.0 Vq~1o1A703
05693         C2016 03 07.37837 13 13 56.84 +02 16 56.7          19.2 Vq~1o1A703
