05693         C1996 04 24.21098 12 29 31.47 +08 03 27.7                i27071711
05693         C1996 04 24.22110 12 29 30.21 +08 03 33.4                i27071711
05693         C1996 05 27.16470 11 48 42.80 +09 29 18.0                i27419711
05693         C1996 05 27.17441 11 48 42.53 +09 29 16.0                i27419711
05693         C1996 06 21.14020 11 51 50.61 +06 54 23.6                i27419711
05693         C1996 06 21.15263 11 51 51.02 +06 54 16.9                i27419711
05693         C1996 12 05.51513 11 34 17.11 +04 53 55.3                i28520711
05693         C1996 12 05.52476 11 34 17.25 +04 53 58.6                i28520711
05693         c1996 12 17.49666 11 35 46.78 +06 19 46.2          18.2 Vi28791691
05693         c1996 12 17.50361 11 35 46.70 +06 19 50.2          18.2 Vi28791691
05693         c1996 12 17.50989 11 35 46.62 +06 19 53.5          18.2 Vi28791691
05693         C1997 02 04.35341 10 16 14.52 +20 13 09.6          16.9 Rc28985608
05693         C1997 02 04.40249 10 16 05.88 +20 14 05.0          16.9 Rc28985608
05693         C1997 02 04.77500 10 15 00.94 +20 20 50.4          17.3 Vz28943360
05693         C1997 02 04.77847 10 15 00.33 +20 20 54.3                z28943360
05693         C1997 02 07.33236 10 07 42.94 +21 05 42.4          17.2 Rc28985608
05693         C1997 02 07.39008 10 07 32.78 +21 06 42.0          16.6 Rc28985608
05693         C1997 02 10.36229 09 59 08.09 +21 54 18.1                i29059711
05693         C1997 02 10.37084 09 59 06.67 +21 54 25.6                i29059711
05693         C1997 02 11.03807 09 57 15.22 +22 04 20.9                z28931118
05693         C1997 02 11.04826 09 57 13.55 +22 04 30.1                z28931118
05693         C1997 02 11.33594 09 56 25.86 +22 08 47.6                i29059711
05693         C1997 02 11.34442 09 56 24.47 +22 08 54.6                i29059711
05693         C1997 02 12.44646 09 53 23.07 +22 24 39.7          17.0 Rc28985608
05693         C1997 02 12.47857 09 53 17.58 +22 25 06.4          17.2 Rc28985608
05693         C1997 03 01.00903 09 15 34.01 +24 53 53.2                z29186118
05693         C1997 03 01.01111 09 15 33.80 +24 53 53.8                z29186118
05693         C1999 02 20.50830 15 07 36.24 -10 25 31.4                za4061711
05693         C1999 02 20.52126 15 07 37.03 -10 25 31.6                za4061711
05693         C1999 02 21.51447 15 08 31.88 -10 25 31.6                za4061711
05693         C1999 02 21.52748 15 08 32.55 -10 25 30.7                za4061711
05693         C1999 04 12.39761 15 10 01.08 -05 40 15.6          18.0  aa4684704
05693         C1999 04 12.41485 15 09 59.60 -05 40 00.8          18.4  aa4684704
05693         C1999 04 12.43214 15 09 58.09 -05 39 47.8          18.1  aa4684704
05693         C1999 04 12.44941 15 09 56.51 -05 39 33.6          18.7  aa4684704
05693         C1999 04 12.46676 15 09 55.09 -05 39 19.2          18.4  aa4684704
05693         C1999 04 19.38129 14 58 22.98 -03 56 55.9          18.1  aa4684704
05693         C1999 04 19.39761 14 58 20.94 -03 56 39.2          18.5  aa4684704
05693         C1999 04 19.41394 14 58 18.95 -03 56 23.9                aa4684704
05693         C1999 04 19.43025 14 58 16.93 -03 56 07.8                aa4684704
05693         C1999 04 19.44663 14 58 14.81 -03 55 53.0          18.4  aa4684704
05693         C1999 04 26.92524 14 40 52.91 -01 44 08.4                da4684046
05693         C1999 04 26.92664 14 40 52.69 -01 44 07.6                da4684046
05693         C1999 04 26.92904 14 40 52.29 -01 44 04.5                da4684046
05693         C1999 05 06.03216 14 12 54.75 +01 18 30.5                 a5409557
05693         C1999 05 06.04090 14 12 52.91 +01 18 41.5                 a5409557
05693         C1999 05 06.04440 14 12 52.19 +01 18 45.5                 a5409557
05693         C1999 05 09.84375 13 59 18.16 +02 38 02.0          17.1 Vza5409610
05693         C1999 05 09.85000 13 59 16.74 +02 38 09.7                za5409610
05693         C1999 05 09.86250 13 59 13.90 +02 38 25.2                za5409610
05693         C1999 05 09.86427 13 59 13.50 +02 38 27.4                za5409610
05693         C1999 05 09.88167 13 59 09.55 +02 38 48.8                za5409610
05693         C1999 05 09.98266 13 58 46.41 +02 40 53.6          15.6 Rca5409118
05693         C1999 05 09.98992 13 58 44.75 +02 41 02.7                ca5409118
05693         C1999 05 12.16870 13 50 33.73 +03 26 03.4          19.2  aa5409704
05693         C1999 05 12.18172 13 50 30.73 +03 26 20.1          18.1  aa5409704
05693         C1999 05 12.19475 13 50 27.68 +03 26 38.0          17.9  aa5409704
05693         C1999 05 12.20775 13 50 24.61 +03 26 53.0          18.2  aa5409704
05693         C1999 05 12.22070 13 50 21.52 +03 27 10.2                aa5409704
05693         C1999 05 15.15097 13 39 00.20 +04 26 09.4          18.1  aa5409704
05693         C1999 05 15.16579 13 38 56.58 +04 26 27.9          18.8  aa5409704
05693         C1999 05 15.18083 13 38 52.93 +04 26 45.7          18.4  aa5409704
05693         C1999 05 15.19584 13 38 49.29 +04 27 03.8                aa5409704
05693         C1999 05 15.21092 13 38 45.63 +04 27 20.1          18.4  aa5409704
05693         C1999 05 15.22466 13 38 42.26 +04 27 37.7          18.1  aa5409704
05693         C1999 05 15.23978 13 38 38.59 +04 27 55.0                aa5409704
05693         C1999 05 15.25489 13 38 34.93 +04 28 13.4                aa5409704
