cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
99,1.088714,-14.338585,2.2707638700E+02,-1.3428553000E+01,227.0763100,-13.4282600,0.3398,0.3913,-0.0996,16.800,null,-9.5,1.056E+01,14.410,0.242,4.5,2.574E+00,1,0,HH00,UB,10,57059.74996860,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
100,1.197592,173.164682,2.2716636300E+02,-1.3397084000E+01,227.1664037,-13.3974143,0.3624,0.3975,-0.1008,15.360,0.143,7.6,1.114E+00,13.946,0.153,7.1,6.362E-01,1,0,0000,BB,10,57059.81567502,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
101,0.699900,45.734439,2.2725640600E+02,-1.3365525000E+01,227.2565491,-13.3653893,0.2793,0.3112,0.0636,15.184,0.113,9.6,1.584E+00,13.651,0.153,7.1,1.243E+00,1,0,0000,BB,10,57059.88138149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
102,0.497767,110.268955,2.2734651300E+02,-1.3333878000E+01,227.3466463,-13.3339259,0.3640,0.4077,-0.0232,15.903,0.206,5.3,7.958E-01,13.867,0.131,8.3,9.309E-01,1,0,0000,BB,10,57059.94708801,2281013701351038205,17.517,0.203,16.804,null,12.516,0.411,8.902,null,null,null,null,null,null,null,null
103,0.699933,86.933759,2.2743650100E+02,-1.3302265000E+01,227.4367005,-13.3022546,0.4618,0.4916,0.0926,15.721,0.242,4.5,6.580E-01,13.994,0.156,7.0,9.294E-01,1,0,0000,BB,10,57060.01266712,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
104,0.441836,61.373897,2.2743668600E+02,-1.3302141000E+01,227.4367967,-13.3020822,0.3180,0.3645,0.0207,15.612,0.181,6.0,1.446E+00,13.759,0.118,9.2,9.102E-01,1,0,0000,BB,10,57060.01279448,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
105,0.990519,-140.661339,2.2752673900E+02,-1.3270440000E+01,227.5265598,-13.2706528,0.6715,0.6717,0.0246,16.717,0.421,2.6,1.047E+00,14.101,0.225,4.8,7.336E-01,1,0,0000,CB,10,57060.07837359,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
106,0.607972,174.144377,2.2761704100E+02,-1.3238527000E+01,227.6170587,-13.2386950,0.5379,0.6408,-0.1156,16.626,0.402,2.7,6.430E-01,14.180,0.187,5.8,8.233E-01,1,0,0000,CB,10,57060.14408006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
107,0.225967,-16.767518,2.2770740800E+02,-1.3206525000E+01,227.7073894,-13.2064649,0.4539,0.5044,-0.0997,15.706,0.179,6.1,1.103E+00,14.170,0.185,5.9,9.133E-01,1,0,0000,BB,10,57060.20978653,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
108,0.314092,124.326704,2.2779784200E+02,-1.3174433000E+01,227.7979160,-13.1744822,0.3072,0.3204,-0.0395,15.614,0.169,6.4,6.803E-01,13.473,0.111,9.8,8.435E-01,1,0,0000,BB,10,57060.27549300,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
109,0.552306,78.533053,2.2788815400E+02,-1.3142378000E+01,227.8883084,-13.1423475,0.4251,0.5283,-0.1563,15.702,0.195,5.6,9.627E-01,14.128,0.209,5.2,1.024E+00,1,0,0000,BB,10,57060.34107211,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
110,0.725055,-74.949128,2.2797871700E+02,-1.3110109000E+01,227.9785173,-13.1100567,0.7449,0.8157,-0.1644,16.563,0.402,2.7,7.773E-01,14.357,0.271,4.0,3.023E-01,1,0,0000,CB,0,57060.40677862,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
111,2.386194,-35.339201,2.2806934300E+02,-1.3077753000E+01,228.0689494,-13.0772123,0.3840,0.4234,-0.1565,15.394,0.150,7.2,1.889E+00,13.985,0.170,6.4,8.731E-01,1,0,0000,BB,10,57060.47248509,2281013701351053600,15.390,0.040,15.587,0.141,12.180,null,9.073,null,null,null,null,null,null,null,null
112,0.446113,168.895137,2.2816003400E+02,-1.3045306000E+01,228.1600585,-13.0454276,0.4169,0.4735,-0.1078,16.277,0.310,3.5,8.715E-01,13.997,0.142,7.7,1.331E+00,1,0,0000,BB,10,57060.53819146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
113,0.294332,164.021164,2.2825060400E+02,-1.3012897000E+01,228.2506271,-13.0129756,0.4054,0.4580,0.1240,15.743,0.231,4.7,4.653E-01,13.933,0.150,7.2,7.305E-01,1,0,0000,BB,10,57060.60377057,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
114,0.463373,0.867446,2.2825078900E+02,-1.3012772000E+01,228.2507910,-13.0126433,0.4215,0.4910,0.1801,15.995,0.284,3.8,6.833E-01,13.869,0.161,6.7,4.008E-01,1,0,0000,BB,10,57060.60389794,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
115,0.848295,37.676893,2.2834142300E+02,-1.2980274000E+01,228.3415708,-12.9800875,0.4570,0.5637,0.1372,16.117,0.276,3.9,1.218E+00,13.785,0.157,6.9,9.191E-01,1,0,0000,BB,10,57060.66947704,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
116,0.527296,52.729374,2.2843230700E+02,-1.2947562000E+01,228.4324266,-12.9474733,0.3890,0.4063,-0.1384,15.651,0.185,5.9,1.166E+00,13.639,0.127,8.6,8.186E-01,1,0,0000,BB,10,57060.73518351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
117,0.639871,73.896823,2.2852325400E+02,-1.2914761000E+01,228.5234292,-12.9147117,0.6961,0.7525,-0.1470,16.406,0.320,3.4,9.337E-01,14.121,0.270,4.0,6.882E-01,1,0,0000,BB,10,57060.80088998,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
119,3.253771,80.453449,2.2870515500E+02,-1.2849020000E+01,228.7060692,-12.8488701,0.6679,0.6768,0.1886,15.803,0.225,4.8,9.919E-01,14.704,0.303,3.6,6.514E-01,1,0,0000,BB,10,57060.93217560,2286012201351005973,16.085,0.068,16.071,0.209,12.432,null,8.623,null,null,null,null,null,null,null,null
121,1.220293,36.381513,2.2879629300E+02,-1.2815954000E+01,228.7964992,-12.8156811,0.4307,0.4853,-0.1120,16.219,0.289,3.8,8.575E-01,13.853,0.140,7.8,6.108E-01,1,0,0000,BB,10,57060.99788207,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
122,0.216558,-27.413703,2.2888749600E+02,-1.2782798000E+01,228.8874676,-12.7827446,0.3000,0.3223,0.0425,15.437,0.161,6.8,7.161E-01,13.570,0.115,9.4,6.578E-01,1,0,0000,BB,10,57061.06358854,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
123,1.129991,152.138253,2.2897876000E+02,-1.2749554000E+01,228.9789104,-12.7498315,0.3702,0.4287,-0.1319,15.641,0.173,6.3,1.131E+00,13.813,0.137,7.9,5.688E-01,1,0,0000,BB,10,57061.12929497,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
124,0.206893,-45.193688,2.2907008800E+02,-1.2716222000E+01,229.0700462,-12.7161815,0.4334,0.5183,0.1641,15.841,0.216,5.0,5.310E-01,13.994,0.183,5.9,4.688E-01,1,0,0000,BB,5,57061.19500144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
125,0.408182,-138.637790,2.2916129500E+02,-1.2682928000E+01,229.1612182,-12.6830131,0.5221,0.5916,-0.1602,16.073,0.232,4.7,6.569E-01,14.261,0.203,5.3,8.883E-01,1,0,0000,BB,10,57061.26058050,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
126,1.427142,54.145439,2.2925274900E+02,-1.2649419000E+01,229.2530783,-12.6491868,0.5266,0.5647,-0.1242,15.639,0.264,4.1,1.427E+00,13.727,0.197,5.5,8.891E-01,1,0,0000,BB,10,57061.32628697,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
127,0.634141,99.937872,2.2934426600E+02,-1.2615821000E+01,229.3444438,-12.6158514,0.7196,0.6876,-0.1425,16.373,0.339,3.2,9.234E-01,14.261,0.231,4.7,6.021E-01,1,0,0000,BB,10,57061.39199344,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
128,0.601617,9.954670,2.2943584700E+02,-1.2582134000E+01,229.4358766,-12.5819694,0.3917,0.4127,0.0867,15.419,0.158,6.9,7.379E-01,13.896,0.195,5.6,8.653E-01,1,0,0000,BB,10,57061.45769991,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
129,0.396779,84.533314,2.2952730300E+02,-1.2548487000E+01,229.5274154,-12.5484765,0.3458,0.4689,-0.1077,15.692,0.188,5.8,1.376E+00,13.755,0.157,6.9,8.239E-01,1,0,0000,BB,10,57061.52327902,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
130,0.352597,102.920459,2.2952749000E+02,-1.2548359000E+01,229.5275878,-12.5483809,0.3657,0.4008,0.0219,15.853,0.293,3.7,2.757E-01,13.723,0.125,8.7,5.597E-01,1,0,0000,BB,10,57061.52340633,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
132,0.895114,-35.865042,2.2971077600E+02,-1.2480672000E+01,229.7106268,-12.4804705,0.6033,0.6299,-0.2037,15.924,0.302,3.6,8.326E-01,14.261,0.216,5.0,7.888E-01,1,0,0000,BB,10,57061.65469181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
133,1.160501,-117.470002,2.2980260600E+02,-1.2446632000E+01,229.8023131,-12.4467807,0.6701,0.7309,-0.2255,16.424,0.337,3.2,1.185E+00,14.353,0.228,4.8,5.756E-01,1,0,0000,BB,10,57061.72039828,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
134,0.749931,89.972518,2.2989449900E+02,-1.2412503000E+01,229.8947123,-12.4125029,0.5792,0.5970,-0.1761,16.040,0.235,4.6,8.793E-01,14.010,0.212,5.1,7.556E-01,1,0,0000,BB,10,57061.78610480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
135,0.306733,-58.908285,2.2998626500E+02,-1.2378415000E+01,229.9861903,-12.3783710,0.4565,0.4344,-0.0863,15.875,0.257,4.2,9.214E-01,13.659,0.161,6.7,7.920E-01,1,0,0000,BB,10,57061.85168390,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
136,3.291572,-0.428516,2.3007828000E+02,-1.2344111000E+01,230.0782730,-12.3431967,0.3046,0.3169,-0.1236,14.955,0.098,11.1,1.222E+00,14.058,0.200,5.4,1.881E+00,1,0,0000,AB,10,57061.91739037,2302012201351017819,15.337,0.042,15.153,0.100,11.924,null,8.381,0.349,1223582828,16.017,0.0745,15.721,0.1059,15.017,null
137,0.596497,54.635274,2.3017035900E+02,-1.2309717000E+01,230.1704973,-12.3096211,0.4715,0.5567,-0.1409,15.724,0.197,5.5,3.178E-01,14.205,0.254,4.3,8.905E-01,1,0,0000,BB,10,57061.98309684,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
138,0.758736,35.678878,2.3026249800E+02,-1.2275236000E+01,230.2626238,-12.2750648,0.5037,0.5199,-0.1238,16.162,0.353,3.1,8.561E-01,13.837,0.158,6.9,7.657E-01,1,0,0000,BB,10,57062.04880336,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
140,1.797869,53.379967,2.3044677300E+02,-1.2206138000E+01,230.4471831,-12.2058401,0.7262,0.7497,-0.2051,16.469,0.383,2.8,6.736E-01,14.158,0.224,4.9,1.027E+00,1,0,0000,CB,5,57062.18008893,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
141,1.080070,35.746102,2.3053909500E+02,-1.2171393000E+01,230.5392743,-12.1711495,0.4997,0.5941,-0.0743,15.791,0.245,4.4,1.086E+00,14.000,0.205,5.3,6.661E-01,1,0,0000,BB,10,57062.24579531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
142,0.573178,-35.512568,2.3063148000E+02,-1.2136558000E+01,230.6313854,-12.1364284,0.4311,0.4903,-0.1385,15.691,0.200,5.4,6.826E-01,13.825,0.171,6.4,5.919E-01,1,0,0000,BB,10,57062.31150178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
143,0.569344,11.085725,2.3072373600E+02,-1.2101768000E+01,230.7237671,-12.1016128,0.4325,0.4903,0.0846,15.745,0.211,5.1,1.096E+00,13.771,0.156,7.0,8.136E-01,1,0,0000,BB,10,57062.37708089,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
144,0.404173,31.913898,2.3072392400E+02,-1.2101637000E+01,230.7239847,-12.1015417,0.4847,0.5526,0.0696,15.961,0.229,4.7,8.674E-01,14.089,0.204,5.3,5.674E-01,1,0,0000,BB,10,57062.37720821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
145,0.696652,25.952402,2.3081624100E+02,-1.2066759000E+01,230.8163276,-12.0665850,0.4372,0.4937,-0.1596,15.510,0.158,6.9,8.608E-01,14.173,0.257,4.2,3.493E-01,1,0,0000,BB,10,57062.44278736,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
146,2.647736,-10.946578,2.3090880800E+02,-1.2031660000E+01,230.9086652,-12.0309379,0.9908,1.0091,0.3545,16.424,null,0.7,1.684E+00,14.142,0.282,3.9,4.827E-01,1,0,0000,UB,10,57062.50849383,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
147,1.627775,111.865896,2.3100143400E+02,-1.1996475000E+01,231.0018630,-11.9966434,0.4738,0.5325,-0.1036,16.158,0.268,4.0,1.248E+00,13.769,0.157,6.9,3.846E-01,1,0,0000,BB,10,57062.57420025,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
148,1.325715,-33.069613,2.3109412200E+02,-1.1961202000E+01,231.0939166,-11.9608934,0.4320,0.4609,0.0483,16.228,0.281,3.9,3.804E-01,13.511,0.163,6.7,5.890E-01,1,0,0000,BB,10,57062.63990672,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
149,0.896224,108.065350,2.3118668000E+02,-1.1925973000E+01,231.1869219,-11.9260502,0.5216,0.6093,-0.1916,15.960,0.243,4.5,5.689E-01,14.166,0.199,5.4,8.912E-01,1,0,0000,BB,5,57062.70548583,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
150,0.531186,58.816242,2.3127948600E+02,-1.1890525000E+01,231.2796150,-11.8904486,0.3570,0.4450,-0.1376,15.746,0.207,5.2,1.007E+00,13.535,0.131,8.3,1.070E+00,1,0,0000,BB,5,57062.77119230,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
151,0.239360,-121.055998,2.3137235400E+02,-1.1854989000E+01,231.3722958,-11.8550233,0.4115,0.5007,-0.1233,15.647,0.233,4.7,4.473E-01,13.657,0.146,7.5,5.903E-01,1,0,0000,BB,10,57062.83689873,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
153,4.122945,141.236291,2.3155807700E+02,-1.1783788000E+01,231.5588095,-11.7846810,0.6386,0.7427,-0.2867,15.881,0.214,5.1,9.198E-01,14.424,null,1.6,9.167E-01,1,0,0000,BU,10,57062.96818435,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
154,0.408780,162.176343,2.3165112300E+02,-1.1747989000E+01,231.6511585,-11.7480971,0.4856,0.5550,-0.0949,16.365,0.331,3.3,8.571E-01,13.716,0.178,6.1,4.802E-01,1,0,0000,BB,10,57063.03389082,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
156,0.317632,60.609731,2.3183739300E+02,-1.1676130000E+01,231.8374715,-11.6760867,0.2830,0.3251,0.0520,15.198,0.113,9.6,1.104E+00,13.847,0.169,6.4,1.024E+00,1,0,0000,BB,5,57063.16530376,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
157,1.932260,62.022243,2.3202370600E+02,-1.1604057000E+01,232.0241899,-11.6038052,0.5884,0.5994,0.2162,16.129,0.406,2.7,7.789E-01,13.734,0.183,5.9,6.795E-01,1,0,0000,CB,5,57063.29658928,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
158,0.655774,121.213438,2.3221044600E+02,-1.1531501000E+01,232.2106050,-11.5315954,0.6615,0.7311,-0.2937,16.097,0.289,3.8,9.096E-01,14.127,0.265,4.1,8.598E-01,1,0,0000,BB,10,57063.42800227,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
159,0.951296,-42.282873,2.3239722800E+02,-1.1458732000E+01,232.3970466,-11.4585365,0.4366,0.5244,-0.0580,15.779,0.195,5.6,8.220E-01,13.910,0.209,5.2,1.089E+00,1,0,0000,BB,10,57063.55928780,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
160,1.765669,-157.705651,2.3258443600E+02,-1.1385463000E+01,232.5842462,-11.3859168,0.5834,0.5719,-0.1109,15.712,0.225,4.8,9.225E-01,14.228,0.281,3.9,4.492E-01,1,0,0000,BB,10,57063.69070074,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
161,0.634742,-74.775924,2.3277167900E+02,-1.1312002000E+01,232.7715055,-11.3119557,0.6661,0.7739,-0.2183,16.142,0.411,2.6,8.172E-01,14.127,0.241,4.5,9.389E-01,1,0,0000,CB,10,57063.82198637,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
162,1.841733,157.750123,2.3295934400E+02,-1.1238059000E+01,232.9595415,-11.2385325,0.6077,0.6591,-0.1420,15.947,0.240,4.5,1.556E+00,14.085,0.279,3.9,1.169E+00,1,0,0000,BB,10,57063.95339935,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
163,0.372255,16.197002,2.3314704600E+02,-1.1163907000E+01,233.1470754,-11.1638077,0.4900,0.5553,0.0984,15.668,0.193,5.6,8.616E-01,14.027,0.248,4.4,1.083E+00,1,0,0000,BB,10,57064.08468488,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
165,0.702613,-11.429179,2.3352331800E+02,-1.1014437000E+01,233.5232786,-11.0142457,0.3932,0.4978,-0.0385,15.526,0.202,5.4,6.586E-01,13.336,0.170,6.4,8.974E-01,1,0,0000,BB,10,57064.34738336,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
166,0.839836,177.154120,2.3352351100E+02,-1.1014298000E+01,233.5235228,-11.0145310,0.4667,0.6404,0.1916,15.722,0.280,3.9,3.927E-01,13.685,0.202,5.4,5.562E-01,1,0,0000,BB,10,57064.34751067,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
167,1.658140,-131.766470,2.3371188700E+02,-1.0939118000E+01,233.7115371,-10.9394248,0.3491,0.3675,-0.1025,14.726,0.125,8.7,1.493E+00,13.077,0.203,5.3,2.140E+00,1,0,0000,BB,10,57064.47879630,2338010701351017839,15.253,0.039,14.912,0.080,12.040,0.355,8.545,null,null,null,null,null,null,null,null
174,4.725059,54.724075,9.7213249000E+01,-1.3934921000E+01,97.2143530,-13.9341630,0.0549,0.0564,-0.0242,12.138,0.025,43.5,1.413E+00,12.154,0.040,27.2,8.881E-01,1,0,0000,AA,5,57295.75305407,977013701351013121,12.129,0.023,12.171,0.022,12.533,0.508,9.213,null,1237284771,13.003,0.0239,12.370,0.0318,12.232,0.0274
179,3.610147,141.014925,9.7447705000E+01,-1.4172944000E+01,97.4483557,-14.1737235,0.9987,1.0804,-0.1963,16.796,0.479,2.3,1.286E+00,14.836,0.350,3.1,5.548E-01,1,0,H000,CB,10,57296.27781410,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
184,0.962652,-108.986880,9.7622271000E+01,-1.4351613000E+01,97.6220100,-14.3517000,1.0098,0.9768,-0.2385,16.376,0.372,2.9,7.631E-01,15.169,null,1.2,8.967E-01,1,0,0000,CU,5,57296.67141596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
190,1.290348,0.742770,9.7795658000E+01,-1.4530385000E+01,97.7956628,-14.5300266,1.2035,1.0882,0.3313,16.270,null,1.1,4.665E-01,14.598,0.306,3.5,5.831E-01,1,0,0000,UB,10,57297.06489051,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
196,1.893610,-73.499258,9.7996587000E+01,-1.4739122000E+01,97.9960655,-14.7389726,0.6281,0.7474,0.1958,15.817,0.343,3.2,7.342E-01,14.380,0.284,3.8,1.269E+00,1,0,g000,BB,0,57297.52407146,986015201351038577,15.699,0.045,15.870,0.155,12.598,null,8.730,null,1214399345,16.332,0.1209,15.924,0.1876,15.348,null
197,2.633401,25.851001,9.8053757000E+01,-1.4798804000E+01,98.0540869,-14.7981457,0.4873,0.6401,-0.1287,15.781,0.209,5.2,1.699E+00,14.279,0.285,3.8,4.949E-01,1,0,0000,BB,0,57297.65535694,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
209,1.882907,-24.509764,9.9998131000E+01,-1.6924187000E+01,99.9979042,-16.9237111,0.4339,0.4763,-0.1174,15.496,0.151,7.2,1.192E+00,14.451,0.305,3.6,4.194E-01,1,0,0000,BB,10,57302.31261910,1006016701351013353,15.493,0.041,15.199,0.081,12.674,null,8.865,null,null,null,null,null,null,null,null
213,4.047182,-159.863621,1.0010273700E+02,-1.7044281000E+01,100.1023322,-17.0453365,0.1877,0.2194,-0.0409,14.561,0.070,15.4,7.846E-01,14.303,0.291,3.7,7.269E-01,1,0,0000,AB,10,57302.57506279,1006016701351013064,14.631,0.031,14.674,0.055,12.552,null,9.172,null,1232392814,15.365,0.0544,14.762,0.0750,14.528,0.0918
216,2.602573,-41.290047,1.0018078900E+02,-1.7134355000E+01,100.1802898,-17.1338118,0.6079,0.6113,-0.1383,16.614,0.363,3.0,1.634E+00,14.280,0.210,5.2,1.103E+00,1,0,0000,CB,10,57302.77180009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
217,2.498027,172.093495,1.0020673900E+02,-1.7164383000E+01,100.2068389,-17.1650703,0.8348,0.9589,0.2545,16.388,0.329,3.3,1.053E+00,15.100,0.431,2.5,6.841E-01,1,0,0000,BC,10,57302.83737917,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
224,2.357318,3.183802,1.0036177500E+02,-1.7344605000E+01,100.3618131,-17.3439512,0.2476,0.3095,-0.1416,14.738,0.100,10.9,9.506E-01,14.407,0.203,5.3,7.100E-01,1,0,0000,AB,5,57303.23098104,1006016701351009140,14.809,0.036,14.994,0.068,12.244,null,9.326,null,1232434265,15.373,0.0509,14.932,0.0702,14.887,0.1321
229,2.543848,-106.788511,1.0046446600E+02,-1.7464790000E+01,100.4637568,-17.4649941,0.9240,0.9789,-0.2792,17.189,null,-0.3,1.492E+00,14.698,0.302,3.6,6.448E-01,1,0,0000,UB,10,57303.49342478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
230,0.876022,16.180819,1.0049003800E+02,-1.7494836000E+01,100.4901091,-17.4946023,0.3225,0.4185,0.0950,15.220,0.134,8.1,1.555E+00,14.958,0.300,3.6,9.150E-01,1,0,0000,BB,10,57303.55900387,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
232,3.765382,132.684182,1.0059198000E+02,-1.7615030000E+01,100.5927867,-17.6157391,0.2387,0.3072,-0.0343,14.535,0.083,13.1,6.273E-01,14.411,0.209,5.2,8.088E-01,1,0,0000,AB,10,57303.82132029,999018201351051424,14.545,0.029,14.725,0.061,12.544,null,8.413,null,1270579129,15.175,0.0605,14.815,0.0762,14.655,0.1181
235,4.300141,-50.449469,1.0074391000E+02,-1.7795382000E+01,100.7429427,-17.7946214,0.1142,0.1408,-0.0379,13.911,0.047,23.1,9.239E-01,13.783,0.124,8.7,6.814E-01,1,0,0000,AB,10,57304.21492216,1014018201351038676,13.901,0.027,13.876,0.037,12.529,0.420,8.846,null,771757506,15.167,0.0723,14.680,0.1057,14.533,0.1115
236,0.095092,-126.467678,8.0632482000E+01,-6.9581980000E+00,80.6324606,-6.9582137,0.2718,0.3213,-0.0867,16.036,0.212,5.1,1.264E+00,13.713,0.099,11.0,9.392E-01,1,0,0000,BA,10,57442.78363103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
237,1.535186,-125.263507,8.0660273000E+01,-6.8575570000E+00,80.6599223,-6.8578032,0.5169,0.5827,-0.1946,16.805,0.540,2.0,8.940E-01,14.220,0.156,7.0,4.656E-01,1,0,0000,CB,10,57442.91466204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
239,0.265989,-155.625125,8.0716538000E+01,-6.6563220000E+00,80.7165073,-6.6563893,0.4047,0.4442,-0.1247,15.936,0.218,5.0,9.018E-01,14.127,0.163,6.7,1.034E+00,1,0,0000,BB,10,57443.17697885,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
241,0.474932,-76.454188,8.0744942000E+01,-6.5558210000E+00,80.7448129,-6.5557901,0.8724,1.0304,0.3224,16.413,null,1.7,9.843E-01,14.510,0.305,3.6,5.174E-01,1,0,0000,UB,10,57443.30800981,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
243,1.291494,-102.917945,8.0773585000E+01,-6.4553220000E+00,80.7732331,-6.4554022,0.5508,0.5553,-0.0829,16.200,0.254,4.3,1.658E+00,14.098,0.209,5.2,5.934E-01,1,0,0000,BB,5,57443.43916823,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
244,0.758195,73.305944,8.0787982000E+01,-6.4050910000E+00,80.7881850,-6.4050305,0.6468,0.6549,-0.1814,16.266,0.254,4.3,6.912E-01,14.704,0.285,3.8,8.576E-01,1,0,0000,BB,10,57443.50474738,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
245,0.974437,146.151223,8.0802431000E+01,-6.3548710000E+00,80.8025827,-6.3550958,0.4322,0.4189,-0.1737,16.233,0.301,3.6,7.746E-01,13.838,0.144,7.6,5.003E-01,1,0,0000,BB,10,57443.57032659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
246,0.323540,-111.199970,8.0816931000E+01,-6.3046640000E+00,80.8168467,-6.3046965,0.2967,0.3820,-0.0367,15.599,0.170,6.4,9.304E-01,13.907,0.142,7.6,6.094E-01,1,0,0000,BB,10,57443.63590575,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
247,1.479786,29.003978,8.0831445000E+01,-6.2545150000E+00,80.8316455,-6.2541555,0.4501,0.5736,-0.2213,15.919,0.208,5.2,1.367E+00,14.435,0.201,5.4,5.237E-01,1,0,0000,BB,10,57443.70135764,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
248,1.167370,-169.365515,8.0831481000E+01,-6.2544700000E+00,80.8314208,-6.2547887,0.5276,0.6238,-0.1945,16.357,null,1.7,1.219E+00,14.237,0.161,6.7,7.100E-01,1,0,0000,UB,10,57443.70148495,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
250,1.785930,-32.927292,8.0875400000E+01,-6.1040070000E+00,80.8751288,-6.1035906,0.4806,0.5073,-0.2109,15.693,0.170,6.4,1.212E+00,14.459,0.254,4.3,7.626E-01,1,0,0000,BB,10,57443.89809525,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
