cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
26,0.539672,-114.766517,2.2043874700E+02,-1.5561084000E+01,220.4386057,-15.5611468,0.6168,0.7004,0.1453,16.336,0.336,3.2,3.034E-01,14.306,0.195,5.6,8.702E-01,1,0,0000,BB,10,57054.75819256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
27,0.146804,-98.176967,2.2043892100E+02,-1.5560979000E+01,220.4388791,-15.5609848,0.5619,0.6280,0.0132,16.419,0.318,3.4,8.914E-01,14.421,0.209,5.2,5.441E-01,1,0,0000,BB,10,57054.75831987,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28,2.040851,20.587100,2.2052352300E+02,-1.5536256000E+01,220.5237299,-15.5357253,0.9885,1.0519,-0.2409,16.450,null,1.4,1.952E+00,14.793,0.295,3.7,9.973E-01,1,0,0000,UB,10,57054.82389907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29,0.491341,82.717889,2.2060837000E+02,-1.5511341000E+01,220.6085105,-15.5113237,0.5459,0.6270,-0.0727,15.911,0.265,4.1,8.452E-01,14.108,0.237,4.6,5.136E-01,1,0,0000,BB,10,57054.88960560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
30,0.754298,0.922378,2.2069328700E+02,-1.5486341000E+01,220.6932905,-15.4861315,0.4013,0.4233,-0.1080,16.083,0.257,4.2,8.494E-01,13.626,0.138,7.9,7.751E-01,1,0,0000,BB,10,57054.95531207,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31,1.090036,-18.464739,2.2077809900E+02,-1.5461364000E+01,220.7779995,-15.4610768,0.4211,0.4841,-0.1448,15.541,0.173,6.3,6.842E-01,14.283,0.201,5.4,6.872E-01,1,0,0000,BB,10,57055.02089124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32,1.266509,7.621523,2.2094828500E+02,-1.5410938000E+01,220.9483334,-15.4105893,0.3340,0.4108,-0.1310,15.306,0.130,8.4,8.892E-01,14.173,0.179,6.1,4.824E-01,1,0,0000,BB,10,57055.15230428,2206015201351020496,15.647,0.051,15.586,0.149,12.698,null,8.623,null,1218320986,16.466,0.1019,15.976,0.1246,15.746,0.2160
33,1.066483,-27.193888,2.2111875100E+02,-1.5360170000E+01,221.1186106,-15.3599065,0.3746,0.4195,-0.0588,15.731,0.170,6.4,9.327E-01,14.013,0.159,6.8,6.185E-01,1,0,0000,BB,10,57055.28371733,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
34,0.383204,104.415628,2.2120391400E+02,-1.5334766000E+01,221.2040209,-15.3347925,0.4263,0.4936,0.0690,16.470,0.397,2.7,1.159E+00,13.953,0.134,8.1,7.767E-01,1,0,0000,CB,10,57055.34929648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35,0.695762,-65.254335,2.2120409000E+02,-1.5334657000E+01,221.2039080,-15.3345761,0.4627,0.4529,-0.1453,15.630,0.288,3.8,7.018E-01,14.174,0.164,6.6,1.518E+00,1,0,0000,BB,10,57055.34942384,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
36,4.235270,79.782037,2.2128932300E+02,-1.5309167000E+01,221.2905234,-15.3089583,0.0744,0.0773,0.0286,11.937,0.037,29.1,4.758E+01,14.819,0.342,3.2,2.783E+00,1,0,0000,AB,10,57055.41500300,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37,0.776880,76.357323,2.2137480300E+02,-1.5283483000E+01,221.3750204,-15.2834321,0.5231,0.6607,-0.1758,16.188,0.274,4.0,5.153E-01,14.169,0.188,5.8,7.514E-01,1,0,0000,BB,10,57055.48070953,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
